"id","salt/salt decomposition products (P)","Ered1(V)","Ered2(V)","complexation_energies(eV)ΔH","complexation_energies(eV)ΔG","Comment"
1,"No saltb","2,05","1,61","NA","NA",
2,"PF5","3,23","2,74","−0.48","−0.15",
3,"BF3","2,99","2,56","−0.41","−0.05",
4,"(PF5)2","3,83","3,57","−0.71","−0.05",
5,"(BF3)2","3,52","3,25","−0.57","0,06","b"
6,"LiBF4","2,48","2,03","−1.72","−1.32","b"
7,"LiPF6","2,47","2,06","−1.54","−1.13",
8,"LiClO4","2,46","2,03","−1.91","−1.56",
9,"LiSO3CF3","2,53","2,01","−1.75","−1.36",
10,"Pcc+LiBF4","2,38","1,82","−2.58","−1.68",
11,"Pcc+LiPF6","2,38","1,92","−2.44","−1.54",
12,"PccLiClO4","2,29","1,91","−2.66","−1.79",
13,"Pcc+LiSO3CF3","2,38","1,89","−2.40","−1.56",
14,"(LiBF4)2b","2,74","2,33","−3.17","−2.40",
15,"(LiPF)BF3","22,79","2,32","−2.80","−2.02",
16,"(LiClO4)2","2,8","2,35","−3.55","−2.78",
17,"(LiSO3CF3)2","2,84","2,36","−3.17","−2.35",
18,"(PC)2+(LiBF)4","2,66","2,07","−4.92","−3.09","b"
19,"(Pcc)2+(LiPF)6","22,62","2,15","−5.28","−3.51",
20,"(Pcc)2+(LiClO4)2","2,68","2,1","−5.07","−3.33",
21,"(Pcc)2+(LiSO CF)3","22,71","2,2","−4.72","−2.95",
22,"Experiment (ref 44) (no Li salt)","2,01","1,47","NA","NA",
23,"Experiment (ref 30)  LiTFSI/DOL","2,2","2,5","NA","NA",
